Sex,Race/Ethnicity,Age,Stage at Diagnosis,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000"
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2003,1783.4247
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2004,1827.9045
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2005,1787.3465
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2006,1736.1968
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2007,1747.4538
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2008,1771.0367
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2009,1722.2588
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2010,1692.1975
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2011,1684.3699
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2012,1581.9992
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2013,1607.1548
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2014,1552.8114
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2015,1536.3813
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2016,1532.5619
Both Sexes,Hispanic (any race),Ages 65+,All Stages,Observed Rates,2017,1481.0471
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2000,15.1177
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2001,15.2437
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2002,15.5522
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2003,14.3008
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2004,15.6901
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2005,15.5208
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2006,15.1935
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2007,16.0312
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2008,16.3011
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2009,16.5387
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2010,16.4105
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2011,15.1968
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2012,15.1927
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2013,15.7998
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2014,16.2757
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2015,16.8515
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2016,16.2767
Both Sexes,Hispanic (any race),Ages <15,All Stages,Observed Rates,2017,15.517
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2000,51.9973
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2001,51.4419
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2002,51.7481
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2003,51.8506
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2004,53.2024
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2005,54.2169
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2006,53.2944
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2007,55.0099
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2008,58.356
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2009,57.1194
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2010,55.6461
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2011,56.9378
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2012,59.7473
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2013,59.5016
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2014,63.2856
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2015,64.0913
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2016,64.4436
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,Observed Rates,2017,64.2546
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2000,429.63
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2001,429.6997
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2002,435.3604
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2003,424.8213
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2004,430.3546
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2005,431.8629
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2006,425.4634
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2007,430.9461
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2008,434.8225
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2009,434.9713
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2010,417.8078
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2011,427.2623
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2012,422.0952
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2013,418.4899
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2014,423.8214
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2015,427.6994
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2016,422.9527
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,Observed Rates,2017,412.7906
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2000,1582.1886
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2001,1558.4074
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2002,1571.7531
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2003,1541.5022
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2004,1580.7563
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2005,1544.7823
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2006,1512.2116
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2007,1518.1966
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2008,1537.3878
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2009,1521.8953
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2010,1486.6343
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2011,1494.0129
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2012,1429.6713
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2013,1443.8402
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2014,1374.2419
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2015,1384.6085
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2016,1369.5925
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,Observed Rates,2017,1334.4354
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2000,2083.0443
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2001,2073.2521
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2002,2087.8566
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2003,2048.1405
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2004,2098.3383
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2005,2052.7644
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2006,1981.2852
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2007,1998.3108
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2008,2026.6994
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2009,1941.5
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2010,1917.1282
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2011,1892.6617
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2012,1748.679
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2013,1785.8564
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2014,1748.2051
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2015,1702.4537
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2016,1710.8858
Both Sexes,Hispanic (any race),Ages 75+,All Stages,Observed Rates,2017,1641.4721
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2000,16.0165
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2001,15.8986
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2002,16.6665
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2003,15.0983
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2004,16.5908
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2005,16.3835
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2006,16.4092
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2007,16.7773
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2008,17.3666
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2009,17.8871
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2010,17.472
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2011,17.0213
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2012,16.7868
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2013,17.0029
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2014,17.853
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2015,18.839
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2016,18.6066
Both Sexes,Hispanic (any race),Ages < 20,All Stages,Observed Rates,2017,17.1251
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2000,511.3728
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2001,513.5616
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2002,510.7339
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2003,497.6713
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2004,499.0117
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2005,499.0627
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2006,507.7072
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2007,512.257
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2008,507.7195
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2009,504.1262
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2010,490.9163
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2011,490.8013
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2012,479.2269
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2013,475.0878
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2014,474.1579
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2015,474.3722
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2016,469.1814
Both Sexes,Non-Hispanic White,All Ages,All Stages,Observed Rates,2017,461.2546
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2000,103.1876
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2001,105.1681
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2002,104.7164
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2003,105.5738
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2004,108.1984
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2005,110.1818
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2006,111.4726
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2007,112.2466
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2008,114.8464
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2009,114.8502
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2010,113.1332
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2011,114.1203
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2012,114.2801
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2013,113.3821
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2014,114.7282
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2015,115.6107
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2016,113.2542
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Observed Rates,2017,112.5886
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2000,939.066
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2001,941.7242
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2002,933.4996
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2003,895.7846
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2004,893.7586
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2005,887.157
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2006,908.3045
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2007,919.6506
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2008,905.1275
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2009,899.6913
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2010,870.171
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2011,872.3046
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2012,845.6924
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2013,840.516
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2014,846.5092
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2015,846.0655
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2016,842.2711
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Observed Rates,2017,828.5069
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2000,2341.0491
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2001,2343.8739
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2002,2333.8462
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2003,2270.3325
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2004,2268.3146
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2005,2265.1946
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2006,2301.1086
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2007,2319.2136
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2008,2285.659
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2009,2263.6559
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2010,2203.9939
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2011,2194.9006
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2012,2133.9822
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2013,2112.5163
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2014,2090.3399
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2015,2087.5088
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2016,2064.4326
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Observed Rates,2017,2021.8564
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2000,16.5719
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2001,17.2347
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2002,16.6158
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2003,15.8258
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2004,16.6323
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2005,16.7757
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2006,16.879
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2007,17.7469
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2008,16.9512
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2009,17.42
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2010,17.7615
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2011,18.0213
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2012,17.201
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2013,18.0054
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2014,18.3359
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2015,18.7196
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2016,17.5474
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Observed Rates,2017,17.4421
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2000,73.7971
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2001,75.8983
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2002,76.151
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2003,76.6137
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2004,78.3309
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2005,81.1319
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2006,79.9034
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2007,81.933
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2008,84.0671
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2009,83.512
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2010,83.4084
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2011,84.8477
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2012,85.5338
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2013,84.3131
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2014,85.9134
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2015,87.4285
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2016,87.1939
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Observed Rates,2017,83.6161
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2000,611.1347
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2001,614.2394
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2002,609.2477
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2003,592.6978
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2004,595.3718
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2005,593.464
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2006,608.3337
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2007,612.7912
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2008,609.8848
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2009,607.5287
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2010,588.7548
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2011,590.293
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2012,577.3209
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2013,573.4862
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2014,577.5456
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2015,577.3874
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2016,571.0064
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Observed Rates,2017,566.8834
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2000,2154.0776
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2001,2156.7036
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2002,2133.8674
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2003,2058.2015
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2004,2041.9374
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2005,2032.9603
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2006,2086.0991
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2007,2119.3467
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2008,2070.2296
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2009,2049.7042
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2010,1997.8055
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2011,1993.3787
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2012,1911.0707
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2013,1885.0022
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2014,1849.4383
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2015,1855.2021
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2016,1840.4475
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Observed Rates,2017,1816.6105
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2000,2545.6364
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2001,2548.6788
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2002,2552.6663
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2003,2502.4497
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2004,2516.0202
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2005,2519.3092
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2006,2536.3757
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2007,2537.9113
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2008,2521.3855
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2009,2497.7654
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2010,2429.6088
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2011,2415.4093
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2012,2377.8957
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2013,2361.4661
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2014,2353.9385
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2015,2341.7028
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2016,2309.5209
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Observed Rates,2017,2246.4399
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2000,18.2808
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2001,19.0485
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2002,18.7547
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2003,17.9258
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2004,18.7899
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2005,18.8748
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2006,18.7018
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2007,19.5898
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2008,19.0364
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2009,19.4268
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2010,19.364
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2011,20.1409
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2012,19.8641
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2013,19.984
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2014,20.297
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2015,20.9759
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2016,20.0158
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Observed Rates,2017,19.7601
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2000,498.9712
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2001,500.2148
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2002,497.7529
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2003,484.7258
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2004,486.2236
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2005,485.6638
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2006,492.0236
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2007,496.1348
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2008,492.4982
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2009,488.12
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2010,474.5328
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2011,473.8476
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2012,462.0046
Both Sexes,White (includes Hispanic),All Ages,All Stages,Observed Rates,2013,457.8253
